Date,Division,CPI Division,Daily Change (%)
2024-07-15,FOOD AND NON-ALCOHOLIC BEVERAGES,98.9725,0.0124
2024-07-15,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.1947,0.0
2024-07-15,HEALTH,98.026,0.0
2024-07-15,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.1941,3.0231
2024-07-15,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-15,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.6822,0.0
2024-07-15,"RECREATION, SPORT AND CULTURE",94.7375,0.0
2024-07-15,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,0.0
2024-07-15,TRANSPORT,100.9163,0.0
2024-07-16,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.6118,0.0
2024-07-16,CLOTHING AND FOOTWEAR,110.461,0.1603
2024-07-16,EDUCATION SERVICES,98.9399,0.0
2024-07-16,FOOD AND NON-ALCOHOLIC BEVERAGES,99.1631,0.1926
2024-07-16,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.1947,0.0
2024-07-16,HEALTH,98.0543,0.0288
2024-07-16,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.263,-2.9254
2024-07-16,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-16,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.6822,0.0
2024-07-16,"RECREATION, SPORT AND CULTURE",94.7375,0.0
2024-07-16,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,0.0
2024-07-16,TRANSPORT,100.9164,0.0001
2024-07-17,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.6118,0.0
2024-07-17,CLOTHING AND FOOTWEAR,110.461,0.0
2024-07-17,EDUCATION SERVICES,98.9399,0.0
2024-07-17,FOOD AND NON-ALCOHOLIC BEVERAGES,99.1631,0.0
2024-07-17,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.1947,0.0
2024-07-17,HEALTH,98.0543,0.0
2024-07-17,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2628,-0.0002
2024-07-17,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-17,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.6822,0.0
2024-07-17,"RECREATION, SPORT AND CULTURE",94.7375,0.0
2024-07-17,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,0.0
2024-07-17,TRANSPORT,100.9164,0.0
2024-07-18,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.6465,0.036
2024-07-18,CLOTHING AND FOOTWEAR,110.461,0.0
2024-07-18,EDUCATION SERVICES,98.9399,0.0
2024-07-18,FOOD AND NON-ALCOHOLIC BEVERAGES,99.2308,0.0683
2024-07-18,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.2513,0.0583
2024-07-18,HEALTH,98.0543,0.0
2024-07-18,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2628,0.0
2024-07-18,INFORMATION AND COMMUNICATION,95.2753,0.0
