product_name,product_price,date_time_scraped,product_subclass,retailer,subclass_average
ΚαμήλαΑντζιούγες50g,1.45,2023-04-30 01:51:09.552716,"Dried, smoked or salted fish and seafood",SupermarketCy,0
KarlaCornedBeef340g,3.24,2023-04-30 01:51:11.802390,Other meat preparations,SupermarketCy,0
TulipPorkLuncheonMeat200g,2.79,2023-04-30 01:51:11.802394,Other meat preparations,SupermarketCy,0
TulipChoppedHam200g,2.99,2023-04-30 01:51:11.802395,Other meat preparations,SupermarketCy,0
ZwanLuncheonMeat200g,2.6,2023-04-30 01:51:11.802395,Other meat preparations,SupermarketCy,0
ZwanChoppedHamAndPork200g,3.65,2023-04-30 01:51:11.802396,Other meat preparations,SupermarketCy,0
ZwanChickenLuncheonMeat200g,2.59,2023-04-30 01:51:11.802396,Other meat preparations,SupermarketCy,0
ΜεσόγειοςΡεβύθια400g,0.99,2023-04-30 01:51:13.003982,"Dried vegetables, other preserved or processed vegetables",SupermarketCy,0
ΜεσόγειοςΦασόλιαΚόκκινα400g,1.19,2023-04-30 01:51:13.003986,"Dried vegetables, other preserved or processed vegetables",SupermarketCy,0
ΜεσόγειοςΦασόλιαΆσπρα400g,1.0,2023-04-30 01:51:13.003986,"Dried vegetables, other preserved or processed vegetables",SupermarketCy,0
ΜεσόγειοςΣιταροπούλα340g,0.99,2023-04-30 01:51:13.003987,"Dried vegetables, other preserved or processed vegetables",SupermarketCy,0
ΜεσόγειοςΜανιτάριαΦέτες400g,1.25,2023-04-30 01:51:13.003988,"Dried vegetables, other preserved or processed vegetables",SupermarketCy,0
ΜεσόγειοςΦασόλιαΣεΣάλτσαΝτομάτας400g,0.99,2023-04-30 01:51:13.003988,"Dried vegetables, other preserved or processed vegetables",SupermarketCy,0
ΝουνούLight400g,1.29,2023-04-30 01:51:16.174379,Other milk products,SupermarketCy,0
Νουνού400g,1.29,2023-04-30 01:51:16.174384,Other milk products,SupermarketCy,0
NestleMilkmaidΓάλαΖαχαρούχο397g,2.43,2023-04-30 01:51:16.174384,Other milk products,SupermarketCy,0
